image,title,author,rating,genre,top_seller,price,release_date,publisher,description,comments
1.jpg,Leading Lean Software Development: Results Are Not the Point,Poppendieck and Poppendieck,,Software Development,,18.25,12/12/2016 0:00,Emerald Group Publishing,"This book helps to show you how you can make lean software development work in any project, environment, or organization. Drawing from decades of experience, this book is built around the mental models that share our perspectives and behaviors.

If you’re looking for ways to increase your competency as a leader, then this is a must read.","Inspiring, engaging and very useful!| A magnus Opus| I'm in awe|  methodical and respectful approach "
1.jpg,Software Systems Architecture: Working With Stakeholders Using Viewpoints and Perspectives,Rozanski and Woods,,Software Development,,18.25,12/13/2016 0:00,Emerald Group Publishing,"This book helps to guide you through the process of both designing and implementing architecture for information systems. It can help to refine your direction for your own, and your organization’s approach to software systems architecture.

Whether you’re an aspiring software architect, or currently work in the field you’ll find yourself constantly referring back to this useful and practical guide.","Inspiring, engaging and very useful!| A magnus Opus| I'm in awe|  methodical and respectful approach "
1.jpg,"Agile Software Development, Principles, Patterns, and Practices",Robert C Martin,,Software Development,,18.25,12/14/2016 0:00,Emerald Group Publishing,"This book guides you through the core tenets of agile development philosophy, without the usual fluff. You’ll learn how to develop an object-oriented application, from the very beginning stages through low-level design and implementation.

If you’re just getting started with agile development, then you’ll want to start with this book. You’ll come away with a solid foundation of agile software development, and how to write clean, easy to maintain code.","Inspiring, engaging and very useful!| A magnus Opus| I'm in awe|  methodical and respectful approach "
1.jpg,Practices of an Agile Developer,Subramaniam and Hunt,,Software Development,,18.25,12/15/2016 0:00,Emerald Group Publishing,"This book offers a collection of ideas, habits, and approaches to agile software development in an easy-to-read manner. Think of this as a guidebook to getting better results with agile development.

This book is all practical wisdom and zero fluff, follow this book and you’ll become a better developer.","Inspiring, engaging and very useful!| A magnus Opus| I'm in awe|  methodical and respectful approach "
1.jpg,Agile Estimating and Planning,Mike Cohn,,Software Development,,18.25,12/16/2016 0:00,Emerald Group Publishing,"When you’re working in an agile development environment estimating and planning are two things you’ll want to get right. Traditional approaches to planning don’t really translate well over to today’s dynamic and change-driven environments.

Mike Cohn’s book gives you a philosophy, along with guidelines, tools, and principles for excelling in planning and scheduling for uncertain projects.","Inspiring, engaging and very useful!| A magnus Opus| I'm in awe|  methodical and respectful approach "
1.jpg,User Stories Applied: For Agile Software Development,Mike Cohn,,Software Development,,18.25,12/17/2016 0:00,Emerald Group Publishing,"One big trouble spot when it comes to Agile development is user stories. User stories offer a great approach to both writing user stories and integrating them into your development lifecycle.

You’ll learn the difference between good and bad user stories, along with practical ways to gather user stories, even when interaction with your users isn’t possible. This book helps you solve the problem of low-quality user stories.","Inspiring, engaging and very useful!| A magnus Opus| I'm in awe|  methodical and respectful approach "
1.jpg,Agile Documentation: A Pattern Guide to Producing Lightweight Documents for Software Project,Andreas Ruping,,Software Development,,18.25,12/18/2016 0:00,Emerald Group Publishing,"Software documentation provides a set foundation for all communication regarding your software project. This book offers practical advice on how to create documentation that is not only useful but lightweight.

Guidance should be easy to digest, be cross-referenced, and have a pattern form. This book shows you how to do this while providing solutions to the most common documentation problems.","Inspiring, engaging and very useful!| A magnus Opus| I'm in awe|  methodical and respectful approach "
1.jpg,Succeeding with Agile: Software Development Using Scrum,Mike Cohn,,Software Development,,18.25,12/19/2016 0:00,Emerald Group Publishing,"The book is the definitive guide to speedy development with Scrum and agile. This book combines insightful tips, recommendations, and real-world case studies to help you implement a Scrum and agile environment that works over the long haul.

Scrum brings its own unique set of challenges and this book seeks to remedy them in the most practical way possible.","Inspiring, engaging and very useful!| A magnus Opus| I'm in awe|  methodical and respectful approach "
1.jpg,Agile Testing: A Practical Guide for Testers and Agile Teams,Crispin and Gregory,,Software Development,,18.25,12/20/2016 0:00,Emerald Group Publishing,"Agile Testing will help to illuminate the role of testing in agile environments and provide real-world examples to put it to use. You’ll learn how testing quadrants can help show you what kind of testing is needed, who should do it, and the tools you should use.

It’s a unique book that looks at the agile environment from the role of tester and is a must-have in your agile collection.","Inspiring, engaging and very useful!| A magnus Opus| I'm in awe|  methodical and respectful approach "
1.jpg,"Agile!: The Good, the Hype and the Ugly",Bertrand Meyer,,Software Development,,18.25,12/21/2016 0:00,Emerald Group Publishing,"This book offers a great primer on agile development. You’ll pick up a great overview of the agile process, an overview of agile principles, and which techniques are the most effective.

You’ll also learn which agile ideas are the most effective and what can be downright harmful to your projects. Before you dive into agile do yourself a favor and read this book.
Soft Skills

Becoming an incredible programmer takes much more than just mastering your craft. The books below will help you pick up additional skills to help you grow as a programmer throughout your career.","Inspiring, engaging and very useful!| A magnus Opus| I'm in awe|  methodical and respectful approach "
1.jpg,Cracking the Coding Interview: 150 Programming Questions and Solutions,Gayle McDowell,,Software Development,,18.25,12/22/2016 0:00,Emerald Group Publishing,"Coding interviews are no joke. If you’re looking to land your dream job, then you’ll need to impress during your interview. This book offers 150 of the most common programming interview questions and answers, as well as more valuable behind the scenes advice.

Landing a top programming job requires more than just programming skills, and this book will help to illuminate any potential weaknesses or blind spots before your interview.","Inspiring, engaging and very useful!| A magnus Opus| I'm in awe|  methodical and respectful approach "
1.jpg,Soft Skills: The Software Developer’s Life Manual,John Sonmez,,Software Development,,18.25,12/23/2016 0:00,Emerald Group Publishing,"As much as you’d hate to admit it there is life outside of programming. For most developers, coding is the fun part. The hard part involves dealing with clients and colleagues, keeping productive, staying healthy, and managing your finances. In Soft Skills, John Sonmez shows you how to have a satisfying life as a professional software developer.

If you’re looking to grow your life outside of the code you write, then this is a must read book.","Inspiring, engaging and very useful!| A magnus Opus| I'm in awe|  methodical and respectful approach "
1.jpg,The Practice of Programming,Kernighan and Pike,,Software Development,,18.25,12/24/2016 0:00,Emerald Group Publishing,"Programming takes a lot more than just writing code. As a programmer, you must also choose among various design alternatives, assess tradeoffs, debug and test, and maintain existing code. This book is full of practical programming advice and real-world examples.

Improve your craft and start to look at programming as a lifelong practice with this book.","Inspiring, engaging and very useful!| A magnus Opus| I'm in awe|  methodical and respectful approach "
1.jpg,Pragmatic Thinking and Learning: Refactor Your Wetware,Andy Hunt,,Software Development,,18.25,12/25/2016 0:00,Emerald Group Publishing,"Before you even begin writing code, software development happens inside your own head. This book teaches you how to utilize your own brain more effectively, so you can think better and faster, then apply that to your work.

Mastering and understanding your own brain is absolutely crucial if you want a long and successful career, let this book help you get there.","Inspiring, engaging and very useful!| A magnus Opus| I'm in awe|  methodical and respectful approach "
1.jpg,Apprenticeship Patterns: Guidance for the Aspiring Software Craftsman,Hoover and Oshineye,,Software Development,,18.25,12/26/2016 0:00,Emerald Group Publishing,"To succeed today as a software developer you need to be constantly growing and refining your skills and techniques, which is exactly what this book is all about.

This book has cataloged and analyzed dozens of different behavior patterns, so you can hone and perfect your craft. It is an indispensable book along your path as a programmer.","Inspiring, engaging and very useful!| A magnus Opus| I'm in awe|  methodical and respectful approach "
1.jpg,Writing Effective Use Cases,Alistair Cockburn,,Software Development,,18.25,12/27/2016 0:00,Emerald Group Publishing,"Use cases are a very effective method of software planning. This book provides you with in-depth tutorials on how to write effective use cases that actually aid you in development. It’s perfect for all levels of developers and goes into beginner, intermediate, and advanced concepts surrounding use cases.
Web Coding

The books in this section will help you become a better web developer from the ground up.","Inspiring, engaging and very useful!| A magnus Opus| I'm in awe|  methodical and respectful approach "
